feature,coefficient,abs_coefficient
pe_lag_1q,18.570387686826578,18.570387686826578
adj_close_min_q,0.0,0.0
t10y3m_m2,-0.0,0.0
t10y3m_m3,-0.0,0.0
t3mff_m1,0.0,0.0
t3mff_m2,0.0,0.0
t3mff_m3,0.0,0.0
umcsent_m1,0.0,0.0
umcsent_m2,0.0,0.0
umcsent_m3,0.0,0.0
cpi_m0,0.0,0.0
cpi_m1,0.0,0.0
cpi_m2,0.0,0.0
indpro_m0,0.0,0.0
indpro_m1,0.0,0.0
indpro_m2,0.0,0.0
m2sl_m0,0.0,0.0
m2sl_m1,0.0,0.0
m2sl_m2,0.0,0.0
unrate_m0,-0.0,0.0
unrate_m1,-0.0,0.0
unrate_m2,-0.0,0.0
csushpisa_m-1,0.0,0.0
csushpisa_m0,0.0,0.0
csushpisa_m1,0.0,0.0
inflation_1y_proxy,-0.0,0.0
ind_growth_qoq,-0.0,0.0
delta_unemployment,0.0,0.0
delta_log_m2,-0.0,0.0
t10y3m_m1,-0.0,0.0
effr_m3,0.0,0.0
effr_m2,0.0,0.0
daily_return_m1_first20_max,0.0,0.0
adj_close_max_q,0.0,0.0
adj_close_last_q,0.0,0.0
volume_last_q,0.0,0.0
quarter_return,0.0,0.0
adj_close_m1_first20_mean,0.0,0.0
adj_close_m1_first20_std,0.0,0.0
adj_close_m1_first20_min,0.0,0.0
adj_close_m1_first20_max,0.0,0.0
adj_close_m1_first20_last,0.0,0.0
daily_return_m1_first20_mean,0.0,0.0
daily_return_m1_first20_std,0.0,0.0
daily_return_m1_first20_min,0.0,0.0
daily_return_m1_first20_last,-0.0,0.0
effr_m1,0.0,0.0
volume_m1_first20_mean,0.0,0.0
volume_m1_first20_std,0.0,0.0
volume_m1_first20_last,0.0,0.0
aaa10y_m1,-0.0,0.0
aaa10y_m2,-0.0,0.0
aaa10y_m3,-0.0,0.0
baa10y_m1,-0.0,0.0
baa10y_m2,-0.0,0.0
baa10y_m3,-0.0,0.0
dcoilwtico_m1,-0.0,0.0
dcoilwtico_m2,-0.0,0.0
dcoilwtico_m3,0.0,0.0
delta_log_house_price,0.0,0.0
