metric,value
mean_long_return,0.03609521520588223
mean_short_return,-0.01001711488755751
mean_long_short_return,0.013039050159162366
annualized_return,0.04560638538460826
annualized_volatility,0.12156294423671055
sharpe_ratio,0.42904686920949814
sortino_ratio,0.6736093551733398
var_95,-0.07666523532028813
cvar_95,-0.11232953848688547
win_rate,0.5384615384615384
best_quarter,0.13639385589947342
worst_quarter,-0.11232953848688547
num_quarters,13
max_drawdown,-0.14415855345565398
long_only_mean_return,0.03609521520588223
long_only_annualized_return,0.14284371838014254
long_only_annualized_volatility,0.13574872768923127
long_only_sharpe_ratio,1.063589053696762
long_only_sortino_ratio,5.980333439159763
long_only_var_95,-0.03824162152647243
long_only_cvar_95,-0.045941370040525745
long_only_win_rate,0.5384615384615384
long_only_best_quarter,0.19927612389930333
long_only_worst_quarter,-0.045941370040525745
long_only_max_drawdown,-0.09022823696200333
short_only_mean_return,-0.01001711488755751
short_only_annualized_return,-0.07252439515130271
short_only_annualized_volatility,0.26061626342584854
short_only_sharpe_ratio,-0.15374504654284732
short_only_sortino_ratio,-0.29222472614919043
short_only_var_95,-0.2019871203927829
short_only_cvar_95,-0.21711724870320032
short_only_win_rate,0.38461538461538464
short_only_best_quarter,0.20587822460821328
short_only_worst_quarter,-0.21711724870320032
short_only_max_drawdown,-0.31758166346732253
target_name,target_pe_current
signal_mode,current_pe_relative_change
holding_period_days,60
return_column,holding_period_return
periods_per_year,4.0
